program,site,area,tool_id,task_id,task_name,workstream,owner,planned_start,planned_finish,actual_finish,status,gate,depends_on,risk_level,notes
Phoenix-ETD,SCC-Lab,Bay-8,T-PH-01,FT-10000,Layout approval,Facilities,IT/Network,2025-09-15,2025-09-23,,In Progress,Install,,Low,
Phoenix-ETD,SCC-Lab,Bay-8,T-PH-01,FT-10001,Civil/anchoring check,Facilities,EHS,2025-09-18,2025-09-27,2025-10-03,Done,Install,Layout approval,Medium,
Phoenix-ETD,SCC-Lab,Bay-8,T-PH-01,FT-10002,Power drop install,Facilities,Controls Eng,2025-09-21,2025-09-26,2025-10-01,Done,Install,Layout approval,Medium,
Phoenix-ETD,SCC-Lab,Bay-8,T-PH-01,FT-10003,Network VLAN approved,IT/Network,EHS,2025-09-24,2025-09-28,2025-09-26,Done,Install,Layout approval,Low,
Phoenix-ETD,SCC-Lab,Bay-8,T-PH-01,FT-10004,Exhaust hookup,Facilities,Supplier Mgmt,2025-09-27,2025-10-08,2025-10-05,Done,Install,Layout approval,Low,
Phoenix-ETD,SCC-Lab,Bay-8,T-PH-01,FT-10005,CDA hookup,Facilities,Supplier Mgmt,2025-09-30,2025-10-03,,In Progress,Install,Layout approval,Low,
Phoenix-ETD,SCC-Lab,Bay-8,T-PH-01,FT-10006,DI water hookup,Facilities,Supplier Mgmt,2025-10-03,2025-10-06,,In Progress,Install,Layout approval,Medium,
Phoenix-ETD,SCC-Lab,Bay-8,T-PH-01,FT-10007,Tool delivered to dock,SupplyChain,Facilities Eng,2025-10-06,2025-10-16,2025-10-23,Done,Install,Layout approval,Medium,
Phoenix-ETD,SCC-Lab,Bay-8,T-PH-01,FT-10008,Rigging scheduled,SupplyChain,EHS,2025-10-09,2025-10-11,,In Progress,Install,Tool delivered to dock,High,
Phoenix-ETD,SCC-Lab,Bay-8,T-PH-01,FT-10009,Install tool in bay,Hardware,Facilities Eng,2025-10-12,2025-10-19,,In Progress,Install,"Power drop install,Tool delivered to dock,Rigging scheduled,Exhaust hookup,CDA hookup",Low,
Phoenix-ETD,SCC-Lab,Bay-8,T-PH-01,FT-10010,EHS walkdown,EHS,IT/Network,2025-10-15,2025-10-24,2025-10-26,Done,Install,Install tool in bay,High,
Phoenix-ETD,SCC-Lab,Bay-8,T-PH-01,FT-10011,PLC flash + config,Controls,Controls Eng,2025-10-18,2025-10-26,,In Progress,PowerOn,"Install tool in bay,Network VLAN approved",Low,
Phoenix-ETD,SCC-Lab,Bay-8,T-PH-01,FT-10012,IO checkout,Controls,Controls Eng,2025-10-21,2025-10-25,2025-10-25,Done,PowerOn,PLC flash + config,Low,
Phoenix-ETD,SCC-Lab,Bay-8,T-PH-01,FT-10013,Safety interlock validation,Controls,Mech Eng,2025-10-24,2025-10-31,2025-11-03,Done,PowerOn,IO checkout,Medium,
Phoenix-ETD,SCC-Lab,Bay-8,T-PH-01,FT-10014,Dry run cycle,Controls,Mech Eng,2025-10-27,2025-11-04,,In Progress,Comm,Safety interlock validation,Low,
Phoenix-ETD,SCC-Lab,Bay-8,T-PH-01,FT-10015,Process baseline run,Hardware,Controls Eng,2025-10-30,2025-11-04,,Blocked,Comm,Dry run cycle,Low,
Phoenix-ETD,SCC-Lab,Bay-8,T-PH-01,FT-10016,SAT dry-run,Hardware,IT/Network,2025-11-02,2025-11-05,,In Progress,SAT,"Process baseline run,EHS walkdown",Low,
